id,name,price,quantity,image_url,description
1,"Salmon Poke Bowl",14.50,50,"https://images.unsplash.com/photo-1604259596863-57153177d40b?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Sushi rice, raw salmon, avocado, edamame, and mango."
2,"Quinoa Buddha Bowl",12.50,50,"https://images.unsplash.com/photo-1679279726937-122c49626802?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Quinoa, roasted chickpeas, sweet potato, and kale."
3,"Greek Salad",10.50,50,"https://images.unsplash.com/photo-1599021419847-d8a7a6aba5b4?q=80&w=979&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Feta cheese, olives, cucumber, tomatoes, and red onion."
4,"Lentil Salad with Goat Cheese",11.00,50,"https://plus.unsplash.com/premium_photo-1699881082655-ce3f5590b380?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Brown lentils, goat cheese, walnuts, and balsamic vinaigrette."
5,"Chicken Caesar Salad",12.00,50,"https://images.unsplash.com/photo-1580013759032-c96505e24c1f?q=80&w=909&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Grilled chicken, romaine lettuce, parmesan, and croutons."
6,"Vegan Tofu Scramble Bowl",11.50,50,"https://images.unsplash.com/photo-1631255325918-1ca2886508a5?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Turmeric-spiced tofu with black beans and avocado."
7,"Teriyaki Chicken Bowl",13.00,50,"https://images.unsplash.com/photo-1706703200723-822e740c7e6b?q=80&w=735&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Grilled chicken in teriyaki sauce with rice and broccoli."
8,"Halloumi & Couscous Salad",12.50,50,"https://images.unsplash.com/photo-1673960802455-ec189a6207e5?q=80&w=1170&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D","Grilled halloumi, couscous, mint, and pomegranate seeds."
9,"Chicken Caesar Wrap",11.75,40,"https://images.unsplash.com/photo-1589927986089-35812388d1bd","Grilled chicken, romaine lettuce, parmesan, and Caesar dressing in a wrap."
10,"Tofu Stir Fry",13.00,45,"https://images.unsplash.com/photo-1613145998301-d1c44b17c67b","Crispy tofu with broccoli, bell peppers, and sesame sauce over rice."
11,"Beef Burrito",12.25,50,"https://images.unsplash.com/photo-1601924638867-3ec4e67b7d5e","Seasoned beef, rice, beans, cheese, and salsa in a flour tortilla."
12,"Vegan Pad Thai",13.50,50,"https://images.unsplash.com/photo-1625944230944-13d6e3b8d37d","Rice noodles, tofu, peanuts, bean sprouts, and tamarind sauce."
13,"Shrimp Tacos",14.00,30,"https://images.unsplash.com/photo-1613141449686-80250743a5a7","Grilled shrimp, cabbage slaw, avocado, and spicy mayo in corn tortillas."
14,"Mushroom Risotto",15.25,35,"https://images.unsplash.com/photo-1627308595229-7830a5c91f9f","Creamy risotto with wild mushrooms, parmesan, and fresh herbs."
15,"BBQ Pulled Pork Sandwich",12.75,40,"https://images.unsplash.com/photo-1562967916-eb82221dfb36","Slow-cooked pulled pork with BBQ sauce on a toasted bun with coleslaw."
16,"Caprese Sandwich",11.25,50,"https://images.unsplash.com/photo-1568605114967-8130f3a36994","Fresh mozzarella, tomatoes, basil, and balsamic glaze on ciabatta."
17,"Korean Bibimbap",14.95,45,"https://images.unsplash.com/photo-1578683010236-d716f9a3f3e1","Steamed rice topped with beef, vegetables, egg, and gochujang sauce."
18,"Spaghetti Carbonara",13.50,40,"","Pasta with pancetta, eggs, parmesan, and black pepper."
19,"Chickpea Curry",11.00,50,"","Spiced chickpeas in a tomato-based curry sauce served with rice."
20,"Avocado Toast",9.75,60,"","Sourdough bread topped with smashed avocado, chili flakes, and lime."
21,"Teriyaki Chicken Bowl",12.95,45,"","Grilled chicken with teriyaki sauce, rice, and steamed veggies."
22,"Falafel Wrap",10.50,55,"","Falafel, hummus, lettuce, tomato, and tahini in a pita wrap."
23,"Mac and Cheese",10.00,50,"","Creamy cheddar macaroni topped with toasted breadcrumbs."
24,"Grilled Cheese Sandwich",8.75,60,"","Toasted bread with melted cheddar and mozzarella cheese."
25,"Chicken Tikka Masala",13.25,40,"","Marinated chicken in creamy tomato sauce with basmati rice."
26,"Miso Ramen",14.00,35,"","Ramen noodles in miso broth with tofu, corn, and green onions."
27,"Eggplant Parmesan",12.00,45,"","Breaded eggplant slices baked with marinara and mozzarella."
28,"Zucchini Noodle Bowl",11.50,50,"","Zoodles with cherry tomatoes, pesto, and pine nuts."
29,"Buffalo Chicken Salad",12.75,40,"","Spicy chicken on greens with ranch dressing and croutons."
30,"Pesto Pasta",11.95,50,"","Penne pasta tossed in fresh basil pesto sauce."
31,"BBQ Jackfruit Sandwich",12.00,50,"","Pulled jackfruit in BBQ sauce on a bun with slaw."
32,"Turkey Club Sandwich",11.50,45,"","Sliced turkey, bacon, lettuce, tomato, and mayo on toast."
33,"Stuffed Bell Peppers",13.00,40,"","Peppers filled with rice, beans, vegetables, and cheese."
34,"Veggie Quesadilla",10.50,55,"","Grilled tortilla filled with cheese, peppers, and onions."
35,"Lentil Soup",9.25,60,"","Hearty lentil soup with vegetables and herbs."
36,"Tuna Nicoise Salad",13.75,35,"","Tuna, potatoes, olives, eggs, and green beans on greens."
37,"Spinach Lasagna",12.50,45,"","Layers of pasta, spinach, ricotta, and marinara sauce."
38,"Banh Mi Sandwich",11.75,50,"","Vietnamese sandwich with pork, pickled veggies, and cilantro."
39,"Kale Caesar Salad",10.25,55,"","Kale with Caesar dressing, croutons, and parmesan."
40,"Bulgogi Beef Bowl",14.25,40,"","Korean marinated beef with rice and kimchi."
41,"Cobb Salad",12.50,45,"","Greens topped with bacon, egg, chicken, avocado, and blue cheese."
42,"Vegan Chili",11.00,50,"","Slow-cooked beans, tomatoes, and veggies with spices."
43,"Fish and Chips",14.50,30,"","Battered fish with fries and tartar sauce."
44,"Gnocchi with Marinara",12.25,45,"","Potato gnocchi in house-made marinara sauce."
45,"Roasted Veggie Bowl",11.75,50,"","Quinoa topped with roasted seasonal vegetables."
46,"Breakfast Burrito",10.95,55,"","Eggs, cheese, potatoes, and salsa wrapped in a tortilla."
47,"Thai Green Curry",13.50,40,"","Spicy coconut curry with vegetables and tofu."
48,"Margherita Pizza",11.25,35,"","Tomato sauce, mozzarella, and fresh basil on thin crust."
49,"Beet and Goat Cheese Salad",12.00,50,"","Roasted beets, goat cheese, arugula, and walnuts."
50,"Pumpkin Soup",9.50,60,"","Creamy pumpkin soup with a hint of nutmeg and ginger."
51,"BBQ Chicken Pizza",13.75,40,"","Pizza with BBQ sauce, grilled chicken, red onion, and mozzarella."
52,"Vegan Burrito Bowl",12.00,50,"","Brown rice, black beans, tofu, corn, and guacamole."
53,"Grilled Salmon",15.95,35,"","Herb-seasoned salmon fillet with lemon and asparagus."
54,"Stuffed Zucchini Boats",11.50,45,"","Zucchini halves filled with quinoa, veggies, and tomato sauce."
55,"Chicken Shawarma Plate",13.25,50,"","Grilled chicken with rice, salad, and garlic sauce."
